"pollster","year","poll.date","cand1_pct","cand2_pct","cand1_actual","cand2_actual","error","margin_actual","margin_poll"
"ABC News/Washington Post",2000,2000-11-04,45,48,48.38,47.87,3.51,0.51,-3
"ABC News/Washington Post",2004,2004-10-30,48,49,48.27,50.73,1.46,-2.46,-1
"ABC News/Washington Post",2008,2008-11-02,53,44,52.92,45.66,1.74,7.26,9
"ABC News/Washington Post",2012,2012-11-03,50,47,51.00647842,47.14987728,0.856601138,3.856601138,3
"CBS News/New York Times",2000,2000-11-05,45,44,48.38,47.87,0.49,0.51,1
"CBS News/New York Times",2004,2004-10-31,47,49,48.27,50.73,0.46,-2.46,-2
"CBS News/New York Times",2008,2008-11-01,51,42,52.92,45.66,1.74,7.26,9
"CBS News/New York Times",2012,2012-10-27,48,47,51.00647842,47.14987728,2.856601138,3.856601138,1
"Gallup",2000,2000-11-06,45,47,48.38,47.87,2.51,0.51,-2
"Gallup",2004,2004-10-30,47,49,48.27,50.73,0.46,-2.46,-2
"Gallup",2008,2008-11-01,53,42,52.92,45.66,3.74,7.26,11
"Gallup",2012,2012-11-03,48,49,51.00647842,47.14987728,4.856601138,3.856601138,-1
"George Washington University (Battleground)",2000,2000-11-06,41,46,48.38,47.87,5.51,0.51,-5
"George Washington University (Battleground)",2004,2004-11-01,41,47,48.27,50.73,3.54,-2.46,-6
"George Washington University (Battleground)",2008,2008-11-03,49,44,52.92,45.66,2.26,7.26,5
"George Washington University (Battleground)",2012,2012-10-31,48,48,51.00647842,47.14987728,3.856601138,3.856601138,0
"Greenberg Quinlan Rosner (Democracy Corps)",2000,2000-10-31,45,45,48.38,47.87,0.51,0.51,0
"Greenberg Quinlan Rosner (Democracy Corps)",2004,2004-10-30,48,47,48.27,50.73,3.46,-2.46,1
"Greenberg Quinlan Rosner (Democracy Corps)",2008,2008-11-01,51,44,52.92,45.66,0.26,7.26,7
"Greenberg Quinlan Rosner (Democracy Corps)",2012,2012-11-03,49,45,51.00647842,47.14987728,0.143398862,3.856601138,4
"IBD/TIPP",2000,2000-11-05,46,47.9,48.38,47.87,2.41,0.51,-1.9
"IBD/TIPP",2004,2004-10-31,45.3,48.6,48.27,50.73,0.84,-2.46,-3.3
"IBD/TIPP",2008,2008-11-01,47.5,43,52.92,45.66,2.76,7.26,4.5
"IBD/TIPP",2012,2012-11-04,50.3,48.7,51.00647842,47.14987728,2.256601138,3.856601138,1.6
"Rasmussen Reports/Pulse Opinion Research",2000,2000-11-05,40,49,48.38,47.87,9.51,0.51,-9
"Rasmussen Reports/Pulse Opinion Research",2004,2004-10-31,48.5,50.2,48.27,50.73,0.76,-2.46,-1.7
"Rasmussen Reports/Pulse Opinion Research",2008,2008-11-02,52,46,52.92,45.66,1.26,7.26,6
"Rasmussen Reports/Pulse Opinion Research",2012,2012-11-03,48,49,51.00647842,47.14987728,4.856601138,3.856601138,-1
"Zogby Analytics, telephone",2000,2000-11-05,48,46,48.38,47.87,1.49,0.51,2
"Zogby Analytics, telephone",2004,2004-11-01,49.1,49.4,48.27,50.73,2.16,-2.46,-0.3
"Zogby Analytics, telephone",2008,2008-11-02,54.1,42.7,52.92,45.66,4.14,7.26,11.4
"Zogby Analytics, telephone",2012,2012-10-30,48.7,48.5,51.00647842,47.14987728,3.656601138,3.856601138,0.2
